year,biomass,juveniles,catch
1963,158.4,192,116
1964,160,376,126
1965,186.2,411,181
1966,215.4,498,221
1967,239.4,489,253
1968,244.9,194,288
1969,242.5,207,201
1970,251.7,780,226
1971,255.2,911,328
1972,232.2,172,354
1973,197.1,317,239
1974,225.9,260,214
1975,204.9,483,205
1976,173.4,244,234
1977,156.4,837,209
1978,145.9,486,297
1979,150.2,524,270
1980,170.6,898,294
1981,184.4,315,335
1982,179.9,618,303
1983,145.8,325,259
1984,129.9,595,228
1985,122,159,215
1986,114,714,204
1987,101.6,283,216
1988,96.8,196,184
1989,86.6,275,140
1990,79.8,135,125
1991,67.6,168,102
1992,73.3,306,114
1993,63.8,148,122
1994,66.2,324,111
1995,72.7,227,136
1996,76.9,172,126
1997,82.7,408,124
1998,72.3,59,146
1999,59.5,111,96
