year,biomass,catch
1963,2445,716
1964,2373,871
1965,1945,1168
1966,1575,895
1967,1021,695
1968,567,717
1969,510,546
1970,489,563
1971,348,520
1972,350,497
1973,304,484
1974,204,275
1975,119,312
1976,166,174
1977,124,46
1978,154,11
1979,190,25
1980,210,70
1981,309,174
1982,431,275
1983,647,387
1984,1033,428
1985,1097,613
1986,1123,671
1987,1295,792
1988,1645,887
1989,1696,787
1990,1740,645
1991,1501,658
1992,1151,716
1993,818,671
1994,874,568
1995,921,579
1996,1057,275
1997,1216,264
1998,1467,391
1999,1536,363
2000,1531,388
2001,2085,374
2002,2397,394
2003,2455,482
2004,2419,587
2005,2295,663
2006,1797,514
2007,1444,406
