ReferenceNumber,Make,PropulsionTypeId,BodyTypeId,GovRegion,KeeperTitleId,EngineSize,YearRegistered,Mass,CO2,CO,NOX,part,hc,Random number
440,VAUXHALL,1,96,London,1,1598,2002,1970,190,0.219,0.026,,0.037,0.430217074
1465,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.797111124
3434,VOLKSWAGEN,1,14,South West,2,1395,2016,1316,113,0.242,0.033,,0.048,0.348441701
1801,VAUXHALL,1,14,South West,4,1598,2016,1355,159,0.809,0.012,,0.051,0.968447314
2330,BMW,2,13,South West,5,1995,2016,1445,114,0.18,0.023,,,0.178227074
2216,FORD,2,6,South West,5,1499,2016,1425,98,0.354,0.074,,,0.42377417
1323,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.526515783
1396,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.691726746
264,TOYOTA,1,14,London,4,1998,2002,1440,212,0.76,0.04,,0.08,0.279342743
2971,VOLKSWAGEN,2,6,South West,5,2967,2016,2185,174,0.138,0.039,,,0.225133652
1846,VAUXHALL,1,14,London,2,1398,2016,1199,137,0.645,0.008,,0.044,0.778465872
2707,FORD,2,14,North West,5,1499,2016,1399,98,0.354,0.074,,,0.853962212
2419,VAUXHALL,2,6,South West,5,1598,2016,1393,89,0.268,0.047,,,0.149359207
3809,FORD,2,14,South West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.19685293
1720,VAUXHALL,1,14,North West,2,1598,2016,1355,159,0.809,0.012,,0.051,0.09948093
3330,TOYOTA,8,14,South West,5,1798,2016,1470,82,0.182,0.005,,0.036,0.646455582
1151,FORD,1,6,South West,2,1988,2002,1282,222,0.698,0.058,,0.056,0.006044289
371,VOLKSWAGEN,1,14,London,1,1390,2002,1220,180,0.096,0.064,,0.092,0.080746246
321,BMW,1,2,South West,1,2171,2002,1600,237,0.832,0.005,,0.091,0.698053305
1953,VAUXHALL,1,13,London,2,1398,2016,1141,118,0.463,0.01,,0.031,0.880344156
2362,VAUXHALL,1,14,London,2,1398,2016,1163,120,0.463,0.01,,0.031,0.344031339
689,VAUXHALL,1,14,North West,2,1598,2002,1680,197,0.357,0.029,,0.044,0.101187048
548,FORD,1,13,London,2,1299,2002,965,163,0.66,0.037,,0.09,0.028355145
1228,VAUXHALL,1,96,London,2,1796,2002,2000,219,0.486,0.013,,0.037,0.440339293
1929,VOLKSWAGEN,2,14,London,2,1968,2016,1394,119,0.079,0.063,,,0.140785916
1438,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.258988469
1857,VAUXHALL,2,14,South West,5,1598,2016,1462,134,0.058,0.054,,,0.059243605
886,BMW,1,2,North West,2,1995,2002,1395,175,0.852,0.05,,0.102,0.663185807
2573,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.415908846
2180,VAUXHALL,2,13,South West,5,1598,2016,1503,115,0.204,0.043,,,0.987468255
412,VAUXHALL,1,14,South West,2,1598,2002,1660,171,0.695,0.019,,0.054,0.744960743
1736,VAUXHALL,1,13,North West,1,1398,2016,1141,120,0.463,0.01,,0.031,0.342726958
3471,BMW,2,2,North West,5,1995,2016,1495,109,0.312,0.042,,,0.795478372
1691,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.405287736
2039,FORD,1,14,London,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.930210969
1156,VOLKSWAGEN,1,14,London,2,1390,2002,1181,156,0.165,0.047,,0.075,0.976977469
3406,FORD,1,13,North West,4,998,2016,1176,99,0.355,0.041,0.001,0.067,0.723311994
3050,FORD,2,14,North West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.364841379
2168,VAUXHALL,1,13,South West,1,1398,2016,1141,120,0.463,0.01,,0.031,0.588971438
420,BMW,1,4,South West,1,2494,2002,1615,230,0.494,0.017,,0.079,0.764962633
586,TOYOTA,1,13,London,2,1598,2002,1280,168,0.55,0.03,,0.06,0.940018886
790,FORD,1,13,South West,2,1299,2002,965,163,0.66,0.037,,0.09,0.15938865
447,FORD,1,14,North West,2,1596,2002,1167,165,0.518,0.059,,0.115,0.8327838
3293,BMW,1,5,North West,1,2979,2016,1615,194,0.139,0.035,,0.035,0.484956726
